Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,184.64,254.39,24.66,64.29,52.24,31.91,15.56,1.47,23.09,0.16,0.99,NA,NA,NA,NA,11.27,84.88,0.99,240.85,0.00,0.00,51.15,991.04,NA
2025-01-02 00:00:00,207.12,286.58,29.56,65.88,57.07,51.28,17.60,1.90,23.18,0.22,1.41,NA,NA,NA,NA,11.46,84.75,0.99,246.24,0.00,0.00,50.91,990.31,NA
2025-01-03 00:00:00,295.92,406.67,59.31,86.64,92.32,61.66,26.80,3.32,26.22,0.41,3.45,NA,NA,NA,NA,12.22,84.30,0.57,204.06,0.00,0.00,45.50,990.14,NA
2025-01-04 00:00:00,272.03,336.54,57.62,63.97,78.87,62.33,19.31,3.21,20.85,0.46,5.60,NA,NA,NA,NA,11.77,89.55,0.98,189.97,0.00,0.00,39.91,988.56,NA
2025-01-05 00:00:00,164.17,214.46,12.28,50.58,34.89,47.40,13.27,1.11,20.78,0.22,0.76,NA,NA,NA,NA,11.36,88.25,1.14,199.73,0.00,0.00,44.73,988.40,NA
2025-01-06 00:00:00,178.54,230.79,15.12,59.55,41.97,42.22,17.56,1.55,23.41,0.20,0.86,NA,NA,NA,NA,12.39,85.34,1.26,223.83,0.00,0.00,50.00,989.29,NA
2025-01-07 00:00:00,170.00,240.46,24.84,58.00,49.04,52.07,14.01,1.64,31.19,0.18,1.30,NA,NA,NA,NA,12.02,86.58,1.54,238.99,0.00,0.00,28.30,989.96,NA
2025-01-08 00:00:00,168.62,244.62,24.80,69.76,55.27,50.86,17.18,1.93,39.93,0.23,1.47,NA,NA,NA,NA,12.64,73.81,1.29,255.64,0.00,0.00,49.29,987.83,NA
2025-01-09 00:00:00,244.46,326.79,28.82,75.94,61.83,54.98,13.58,2.09,45.95,0.25,2.24,NA,NA,NA,NA,12.65,75.05,0.70,222.20,0.00,0.00,50.14,990.14,NA
2025-01-10 00:00:00,231.67,300.21,21.35,56.71,45.52,54.14,9.01,1.53,24.65,0.24,1.91,NA,NA,NA,NA,11.13,90.27,0.86,195.60,0.00,0.00,40.12,992.14,NA
2025-01-11 00:00:00,156.58,184.79,8.74,51.91,32.72,43.98,13.80,1.26,40.73,0.18,0.86,NA,NA,NA,NA,11.70,90.24,1.16,216.68,0.04,4.00,36.38,990.79,NA
2025-01-12 00:00:00,142.21,180.21,30.89,56.67,53.26,40.36,12.40,1.75,23.67,0.19,1.62,NA,NA,NA,NA,12.39,88.74,0.70,215.05,0.00,0.00,30.96,991.52,NA
2025-01-13 00:00:00,121.50,162.42,15.03,52.94,38.38,30.28,12.30,1.17,24.71,0.14,0.79,NA,NA,NA,NA,12.84,84.61,1.78,292.55,0.00,0.00,53.58,990.76,NA
2025-01-14 00:00:00,123.97,159.59,9.96,51.89,33.70,28.90,14.45,1.08,41.92,0.12,0.41,NA,NA,NA,NA,12.46,83.36,1.80,293.52,0.02,1.00,82.14,990.67,NA
2025-01-15 00:00:00,172.97,202.26,9.23,42.28,27.68,41.49,0.46,0.52,27.67,0.18,0.98,NA,NA,NA,NA,12.71,87.85,1.08,194.83,0.00,0.00,44.71,991.38,NA
2025-01-16 00:00:00,179.10,222.59,41.04,47.83,56.87,34.17,7.09,3.15,21.85,0.25,1.75,NA,NA,NA,NA,12.62,85.27,0.65,194.84,0.07,7.00,37.04,992.81,NA
2025-01-17 00:00:00,153.26,203.46,28.00,56.79,50.98,32.06,7.31,0.36,23.59,0.23,2.13,NA,NA,NA,NA,12.19,86.25,1.53,255.55,0.01,1.00,52.26,992.51,NA
2025-01-18 00:00:00,144.29,214.38,19.90,59.16,45.46,28.10,15.42,1.34,39.30,0.15,1.41,NA,NA,NA,NA,13.29,78.85,0.87,200.82,0.00,0.00,61.99,990.42,NA
2025-01-19 00:00:00,177.46,253.29,51.77,83.93,84.68,32.04,21.40,3.23,42.41,0.22,1.91,NA,NA,NA,NA,14.95,76.15,0.66,205.42,0.00,0.00,55.02,989.00,NA
2025-01-20 00:00:00,159.42,225.71,43.37,81.08,76.36,35.66,14.00,2.46,44.39,0.17,1.24,NA,NA,NA,NA,15.36,73.98,1.74,282.22,0.00,0.00,57.65,987.48,NA
2025-01-21 00:00:00,133.46,204.08,22.92,83.14,60.84,30.30,17.32,2.16,60.44,0.13,0.68,NA,NA,NA,NA,15.11,67.35,2.06,299.28,0.00,0.00,57.25,986.26,NA
2025-01-22 00:00:00,119.17,211.12,55.90,84.48,88.31,25.00,15.60,2.31,33.12,0.18,1.98,NA,NA,NA,NA,15.23,69.32,1.15,240.58,0.00,0.00,64.53,985.98,NA
2025-01-23 00:00:00,103.88,166.71,56.02,85.20,88.84,32.42,12.84,1.51,29.68,0.21,2.40,NA,NA,NA,NA,15.20,69.08,1.25,225.39,0.02,2.00,57.65,987.48,NA
2025-01-24 00:00:00,90.62,169.50,31.52,82.77,67.66,28.17,18.01,1.09,40.45,0.12,0.82,NA,NA,NA,NA,14.69,61.07,2.07,291.30,0.00,0.00,66.60,987.73,NA
2025-01-25 00:00:00,71.27,156.54,23.61,81.47,60.52,22.79,12.65,0.99,51.75,0.11,0.58,NA,NA,NA,NA,14.45,53.10,1.85,311.12,0.00,0.00,69.42,987.14,NA
2025-01-26 00:00:00,94.98,181.00,27.21,87.65,66.74,23.92,17.90,1.13,56.26,0.13,0.67,NA,NA,NA,NA,14.17,53.04,1.36,290.52,0.00,0.00,69.02,987.01,NA
2025-01-27 00:00:00,121.45,223.42,23.69,78.24,58.85,25.10,16.84,1.36,46.30,0.15,0.97,NA,NA,NA,NA,13.89,58.96,1.26,283.74,0.00,0.00,67.54,985.68,NA
2025-01-28 00:00:00,116.76,215.96,10.14,64.33,40.52,27.06,19.43,1.28,65.84,0.14,0.90,NA,NA,NA,NA,14.37,57.11,1.17,277.82,0.00,0.00,67.04,985.26,NA
2025-01-29 00:00:00,237.83,364.12,60.40,68.67,83.63,37.07,21.49,2.46,56.94,0.28,4.15,NA,NA,NA,NA,14.21,71.95,0.99,190.55,0.00,0.00,62.96,986.78,NA
2025-01-30 00:00:00,183.21,257.08,18.79,55.85,42.49,37.93,17.77,1.55,56.07,0.16,1.46,NA,NA,NA,NA,14.81,75.90,0.97,195.84,0.00,0.00,62.29,983.76,NA
2025-01-31 00:00:00,175.67,264.88,34.90,59.16,57.87,35.78,14.39,1.87,43.01,0.20,2.58,NA,NA,NA,NA,15.64,71.59,0.72,179.77,0.00,0.00,66.27,983.27,NA
2025-02-01 00:00:00,194.64,289.47,51.57,62.68,73.24,37.93,17.20,2.21,38.50,0.28,3.06,NA,NA,NA,NA,15.58,75.22,0.73,133.09,0.00,0.00,59.75,985.65,NA
2025-02-02 00:00:00,179.46,253.96,21.23,59.68,47.05,35.34,16.70,1.38,26.29,0.17,1.16,NA,NA,NA,NA,14.60,78.38,1.64,239.12,0.00,0.00,57.21,987.61,NA
2025-02-03 00:00:00,119.67,211.12,34.28,63.97,59.92,29.47,16.53,1.71,34.99,0.17,1.62,NA,NA,NA,NA,14.83,67.62,1.23,239.56,0.00,0.00,64.59,987.02,NA
